CAD_INCIDENT_ID,INITIAL_CALL_TYPE,INITIAL_SEVERITY_LEVEL_CODE,FINAL_CALL_TYPE,FINAL_SEVERITY_LEVEL_CODE,DISPATCH_RESPONSE_SECONDS_QY,INCIDENT_RESPONSE_SECONDS_QY,INCIDENT_TRAVEL_TM_SECONDS_QY,INCIDENT_DISPOSITION_CODE,BOROUGH,INCIDENT_DISPATCH_AREA,ZIPCODE,POLICEPRECINCT,CITYCOUNCILDISTRICT,COMMUNITYDISTRICT,COMMUNITYSCHOOLDISTRICT,CONGRESSIONALDISTRICT
111842365,259,2,259,2,24,331,307,82,4,1,10454,40,8,201,7,15
111842368,28,2,28,2,25,336,311,82,4,4,10469,47,12,212,11,16
111842369,235,6,235,6,45,243,198,82,4,3,10461,45,13,210,11,14
111842371,68,2,68,2,22,347,325,82,4,1,10460,42,17,203,12,15
111842372,235,6,235,6,24,299,275,82,1,2,11413,105,31,413,29,5
111842375,259,2,259,2,25,242,217,82,2,5,10029,23,8,111,4,13
111842376,235,6,235,6,35,530,495,82,3,7,11233,81,36,303,16,8
111842377,232,3,232,3,33,445,412,82,1,6,11373,110,25,404,24,6
111842380,68,2,68,2,18,338,320,82,3,1,11235,61,48,315,22,9
111842381,235,4,235,4,9,305,296,82,1,5,11427,107,23,408,29,5
111842382,235,6,235,6,19,240,221,82,3,5,11238,77,35,308,17,9
111842386,78,4,78,4,12,856,844,82,1,1,11691,101,31,414,27,5
111842388,235,4,235,4,51,554,503,82,4,3,10462,49,13,211,11,14
111842389,80,7,80,7,15,869,854,82,2,1,10002,7,1,103,2,7
111842391,120,5,28,2,18,253,235,82,3,2,11220,72,38,307,20,7
111842392,80,7,80,7,9,451,442,82,3,4,11208,75,42,305,19,8
111842396,259,2,259,2,9,530,521,82,3,4,11208,75,37,305,19,7
111842400,4,5,4,5,34,358,324,82,1,4,11375,112,29,406,28,6
111842401,68,2,68,2,33,338,305,82,4,3,10461,45,13,210,8,14
111842403,28,2,28,2,16,175,159,82,4,5,10467,52,11,207,10,13
111842405,68,2,68,2,21,435,414,82,3,7,11206,90,34,301,14,7
111842406,80,7,80,7,99,679,580,82,4,5,10467,52,11,207,10,13
111842407,124,4,124,4,44,305,261,82,4,1,10454,40,8,201,7,15
111842408,39,3,39,3,19,274,255,82,4,2,10453,46,14,205,9,15
111842410,264,3,68,2,30,366,336,82,3,5,11216,77,36,308,17,9
111842411,78,4,78,4,10,226,216,82,2,9,10040,34,10,112,6,13
111842412,68,2,68,2,14,232,218,82,4,5,10468,50,14,208,10,13
111842413,28,2,28,2,41,361,320,82,3,4,11233,73,41,316,23,8
111842414,78,4,78,4,61,376,315,82,4,1,10460,42,17,203,12,15
111842415,235,6,235,6,57,186,129,82,4,1,10455,40,17,201,7,15
111842416,235,6,235,6,34,306,272,82,2,9,10032,33,10,112,6,13
111842418,18,2,18,2,68,301,233,82,3,7,11211,90,34,301,14,12
111842420,28,2,28,2,35,340,305,82,3,2,11220,72,38,307,20,7
111842421,235,6,235,6,38,789,751,82,2,1,10002,7,1,103,1,7
111842422,235,6,235,6,72,412,340,82,2,3,10036,14,4,105,2,12
111842425,124,5,124,5,40,318,278,82,2,9,10033,34,10,112,6,13
111842426,78,4,78,4,29,308,279,82,3,4,11233,73,41,316,23,8
111842427,78,4,78,4,23,435,412,82,2,3,10018,14,4,105,2,12
111842428,209,6,209,6,10,312,302,82,3,3,11203,71,41,309,18,9
111842429,235,6,235,6,35,283,248,82,4,3,10465,45,13,210,8,14
111842431,259,2,259,2,12,158,146,82,2,2,10003,9,2,103,1,12
111842435,78,4,78,4,22,236,214,82,2,4,10025,24,7,107,3,13
111842436,241,4,241,4,27,278,251,82,3,1,11224,60,47,313,21,8
111842437,68,2,68,2,31,397,366,82,2,5,10029,23,5,111,2,13
111842438,28,2,28,2,36,473,437,82,1,6,11106,114,26,401,30,12
111842440,209,6,209,6,22,354,332,82,3,3,11203,67,45,317,18,9
111842444,124,5,124,5,96,579,483,82,3,3,11210,67,45,317,22,9
111842445,124,5,124,5,12,275,263,82,1,6,11370,114,22,401,7,14
111842446,124,5,124,5,10,280,270,82,1,1,11692,100,31,414,27,5
111842448,39,3,39,3,27,865,838,82,1,1,11697,100,32,414,27,5
111842449,6,3,6,3,57,536,479,82,4,1,10459,42,17,203,12,15
111842450,235,6,235,6,22,345,323,82,3,4,11207,75,42,305,19,8
111842451,124,5,124,5,41,358,317,82,4,3,10465,45,13,210,8,14
111842452,248,2,248,2,13,513,500,82,4,1,10454,40,8,201,7,15
111842453,80,7,80,7,28,445,417,82,2,9,10032,33,10,112,6,13
